date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,lat,long
1/1/19,Johor,1713.7,1663.1,50.6,792.6,68.4,3,1.4854,103.7618
1/1/19,Kedah,913,890.7,22.3,495.3,64.8,2.4,6.1184,100.3685
1/1/19,Kelantan,704.4,683.3,21.1,417.1,62.8,3,6.1254,102.2381
1/1/19,Melaka,548.1,533.5,14.6,251.7,68.5,2.7,2.1896,102.2501
1/1/19,Negeri Sembilan,653.7,636.1,17.6,312.2,67.7,2.7,2.7258,101.9424
1/1/19,Pahang,747.3,728.6,18.7,381.2,66.2,2.5,3.8126,103.3256
1/1/19,Perak,1115.2,1083.2,31.9,601.3,65,2.9,4.5921,101.0901
1/1/19,Perlis,129.8,126.2,3.6,70.7,64.7,2.8,6.4449,100.2045
1/1/19,Pulau Pinang,800.6,780.5,20.1,363.2,68.8,2.5,5.4141,100.3288
1/1/19,Putrajaya,80.6,78.5,2.1,37,68.5,2.5,2.9264,101.6964
1/1/19,Sabah,1311.3,1244.6,66.7,729.7,64.2,5.1,5.9788,116.0753
1/1/19,Sarawak,1231.7,1193.5,38.2,613.4,66.8,3.1,1.5533,110.3592
1/1/19,Selangor,3289.6,3196.7,93,1319.7,71.4,2.8,3.0738,101.5183
1/1/19,Terengganu,602.3,583.4,18.9,331.6,64.5,3.1,5.329,103.137
1/1/19,W.P. Kuala Lumpur,1011.5,983.1,28.4,424.4,70.4,2.8,3.139,101.6869
1/1/19,W.P. Labuan,109.8,104.9,5,56.2,66.1,4.5,5.2831,115.2308
1/1/20,Johor,1731.2,1659.4,71.8,750.9,69.7,4.1,1.4854,103.7618
1/1/20,Kedah,907.8,872.7,35.1,498.4,64.6,3.9,6.1184,100.3685
1/1/20,Kelantan,701.4,669.6,31.9,423.4,62.4,4.5,6.1254,102.2381
1/1/20,Melaka,563.7,542.7,21,274,67.3,3.7,2.1896,102.2501
1/1/20,Negeri Sembilan,654.8,630.2,24.6,308.6,68,3.8,2.7258,101.9424
1/1/20,Pahang,755.6,727.1,28.5,370.6,67.1,3.8,3.8126,103.3256
1/1/20,Perak,1091.4,1045.6,45.8,594.3,64.7,4.2,4.5921,101.0901
1/1/20,Perlis,131.7,126.6,5.1,73.6,64.1,3.8,6.4449,100.2045
1/1/20,Pulau Pinang,808.1,775.4,32.8,369,68.7,4.1,5.4141,100.3288
1/1/20,Putrajaya,80.4,77.4,3,37.6,68.2,3.8,2.9264,101.6964
1/1/20,Sabah,1298.3,1213.8,84.5,742.5,63.6,6.5,5.9788,116.0753
1/1/20,Sarawak,1215.2,1163.4,51.8,591.3,67.3,4.3,1.5533,110.3592
1/1/20,Selangor,3334.3,3199.3,134.9,1403.3,70.4,4,3.0738,101.5183
1/1/20,Terengganu,594.5,567.5,27,316.3,65.3,4.5,5.329,103.137
1/1/20,W.P. Kuala Lumpur,992.2,951,41.2,416.6,70.4,4.1,3.139,101.6869
1/1/20,W.P. Labuan,109.9,103.5,6.4,54.4,66.9,5.8,5.2831,115.2308
1/1/21,Johor,1713.1,1642.2,70.9,781.9,68.7,4.1,1.4854,103.7618
1/1/21,Kedah,905.5,867.5,38,466.5,66,4.2,6.1184,100.3685
1/1/21,Kelantan,686.3,659.1,27.2,418,62.1,4,6.1254,102.2381
1/1/21,Melaka,550.8,532,18.7,261,67.8,3.4,2.1896,102.2501
1/1/21,Negeri Sembilan,646.8,619.1,27.8,326.1,66.5,4.3,2.7258,101.9424
1/1/21,Pahang,767.3,737.9,29.4,399.6,65.8,3.8,3.8126,103.3256
1/1/21,Perak,1092.9,1048.3,44.6,618.6,63.9,4.1,4.5921,101.0901
1/1/21,Perlis,129.4,124.6,4.8,72.9,63.9,3.7,6.4449,100.2045
1/1/21,Pulau Pinang,797.9,768.6,29.3,357,69.1,3.7,5.4141,100.3288
1/1/21,Putrajaya,79.7,76.9,2.8,36,68.9,3.5,2.9264,101.6964
1/1/21,Sabah,1311.9,1228.3,83.6,763.7,63.2,6.4,5.9788,116.0753
1/1/21,Sarawak,1196.4,1143.8,52.6,579.2,67.4,4.4,1.5533,110.3592
1/1/21,Selangor,3271.1,3144.4,126.7,1348.4,70.8,3.9,3.0738,101.5183
1/1/21,Terengganu,606.7,577.5,29.2,327.9,64.9,4.8,5.329,103.137
1/1/21,W.P. Kuala Lumpur,1015.1,974,41.1,438.2,69.8,4.1,3.139,101.6869
1/1/21,W.P. Labuan,112.7,106.5,6.1,55.1,67.2,5.5,5.2831,115.2308
1/1/22,Johor,1709.7,1657.1,52.7,767.3,69,3.1,1.4854,103.7618
1/1/22,Kedah,904.2,879.7,24.5,468.5,65.9,2.7,6.1184,100.3685
1/1/22,Kelantan,699.9,678.7,21.2,401.4,63.5,3,6.1254,102.2381
1/1/22,Melaka,551.7,536.1,15.6,265.5,67.5,2.8,2.1896,102.2501
1/1/22,Negeri Sembilan,650.7,631.2,19.5,307.8,67.9,3,2.7258,101.9424
1/1/22,Pahang,743.9,722.7,21.2,376.4,66.4,2.8,3.8126,103.3256
1/1/22,Perak,1099.2,1065.1,34.1,587,65.2,3.1,4.5921,101.0901
1/1/22,Perlis,131.8,127.9,3.9,75.6,63.5,3,6.4449,100.2045
1/1/22,Pulau Pinang,798.7,775.4,23.3,364.6,68.7,2.9,5.4141,100.3288
1/1/22,Putrajaya,81.8,79.4,2.3,37.3,68.7,2.9,2.9264,101.6964
1/1/22,Sabah,1314.7,1239,75.6,707.1,65,5.8,5.9788,116.0753
1/1/22,Sarawak,1193.6,1154.7,39,586.8,67,3.3,1.5533,110.3592
1/1/22,Selangor,3290.8,3202.4,88.5,1369,70.6,2.7,3.0738,101.5183
1/1/22,Terengganu,596.7,576.7,20,322.5,64.9,3.4,5.329,103.137
1/1/22,W.P. Kuala Lumpur,1013.4,977.3,36.1,445.8,69.4,3.6,3.139,101.6869
1/1/22,W.P. Labuan,110.1,105.1,5,56.6,66,4.5,5.2831,115.2308
10/1/19,Johor,1683,1632.8,50.3,795.6,67.9,3,1.4854,103.7618
10/1/19,Kedah,886.8,864.7,22,463.4,65.7,2.5,6.1184,100.3685
10/1/19,Kelantan,689.4,668.9,20.4,400.4,63.3,3,6.1254,102.2381
10/1/19,Melaka,547,531.9,15.1,254.9,68.2,2.8,2.1896,102.2501
10/1/19,Negeri Sembilan,642.1,624.1,18.1,329.1,66.1,2.8,2.7258,101.9424
10/1/19,Pahang,741,720.4,20.6,370.5,66.7,2.8,3.8126,103.3256
10/1/19,Perak,1089,1053.2,35.8,581,65.2,3.3,4.5921,101.0901
10/1/19,Perlis,131.6,127.8,3.7,73.9,64,2.8,6.4449,100.2045
10/1/19,Pulau Pinang,801.7,781.9,19.8,368.8,68.5,2.5,5.4141,100.3288
10/1/19,Putrajaya,78.4,76,2.4,36.9,68,3,2.9264,101.6964
10/1/19,Sabah,1288.4,1226.1,62.3,718.8,64.2,4.8,5.9788,116.0753
10/1/19,Sarawak,1170.5,1135.7,34.8,609.6,65.8,3,1.5533,110.3592
10/1/19,Selangor,3256.3,3159,97.3,1341.4,70.8,3,3.0738,101.5183
10/1/19,Terengganu,601.4,581.2,20.3,332.1,64.4,3.4,5.329,103.137
10/1/19,W.P. Kuala Lumpur,987.3,960.2,27,426.6,69.8,2.7,3.139,101.6869
10/1/19,W.P. Labuan,109.7,104.6,5.2,57,65.8,4.7,5.2831,115.2308
10/1/20,Johor,1698.1,1631,67.1,754.8,69.2,4,1.4854,103.7618
10/1/20,Kedah,905.2,871.1,34.1,472.6,65.7,3.8,6.1184,100.3685
10/1/20,Kelantan,686.6,656.3,30.3,414,62.4,4.4,6.1254,102.2381
10/1/20,Melaka,543.7,521.9,21.9,258.3,67.8,4,2.1896,102.2501
10/1/20,Negeri Sembilan,646.6,620.2,26.4,315.7,67.2,4.1,2.7258,101.9424
10/1/20,Pahang,748.1,718,30.1,407.5,64.7,4,3.8126,103.3256
10/1/20,Perak,1066.5,1020.6,45.8,573.7,65,4.3,4.5921,101.0901
10/1/20,Perlis,130.2,124.7,5.5,71,64.7,4.2,6.4449,100.2045
10/1/20,Pulau Pinang,789.1,759.9,29.2,349.7,69.3,3.7,5.4141,100.3288
10/1/20,Putrajaya,81.3,77.9,3.4,39.7,67.2,4.2,2.9264,101.6964
10/1/20,Sabah,1288.7,1207.7,81,706.5,64.6,6.3,5.9788,116.0753
10/1/20,Sarawak,1199.3,1146.4,52.9,579.9,67.4,4.4,1.5533,110.3592
10/1/20,Selangor,3303.6,3170.7,132.8,1322,71.4,4,3.0738,101.5183
10/1/20,Terengganu,590.2,563.1,27.1,325.1,64.5,4.6,5.329,103.137
10/1/20,W.P. Kuala Lumpur,996.8,955,41.7,438.9,69.4,4.2,3.139,101.6869
10/1/20,W.P. Labuan,107.7,101.3,6.4,55.8,65.9,5.9,5.2831,115.2308
10/1/21,Johor,1683.2,1623.8,59.4,791.1,68,3.5,1.4854,103.7618
10/1/21,Kedah,900.7,866.4,34.3,476.3,65.4,3.8,6.1184,100.3685
10/1/21,Kelantan,684.2,655.7,28.5,416.6,62.2,4.2,6.1254,102.2381
10/1/21,Melaka,541.2,520.7,20.5,252,68.2,3.8,2.1896,102.2501
10/1/21,Negeri Sembilan,646.5,619.9,26.6,316.3,67.1,4.1,2.7258,101.9424
10/1/21,Pahang,735.5,705.1,30.4,379.4,66,4.1,3.8126,103.3256
10/1/21,Perak,1104.4,1059.8,44.6,617.3,64.1,4,4.5921,101.0901
10/1/21,Perlis,130.6,125.4,5.3,72.5,64.3,4,6.4449,100.2045
10/1/21,Pulau Pinang,791.3,762.4,28.9,359.4,68.8,3.7,5.4141,100.3288
10/1/21,Putrajaya,80.2,77.3,2.8,39,67.3,3.5,2.9264,101.6964
10/1/21,Sabah,1285.5,1205.6,79.9,723.9,64,6.2,5.9788,116.0753
10/1/21,Sarawak,1181.5,1122.6,58.9,573.6,67.3,5,1.5533,110.3592
10/1/21,Selangor,3212.8,3095.6,117.2,1299.9,71.2,3.6,3.0738,101.5183
10/1/21,Terengganu,598.3,570.4,27.8,321.7,65,4.7,5.329,103.137
10/1/21,W.P. Kuala Lumpur,1003.1,961.7,41.4,427.5,70.1,4.1,3.139,101.6869
10/1/21,W.P. Labuan,106.5,100.3,6.1,52.5,67,5.8,5.2831,115.2308
10/1/22,Johor,1676.4,1620.1,56.3,773.3,68.4,3.4,1.4854,103.7618
10/1/22,Kedah,897.9,868.7,29.2,455.1,66.4,3.2,6.1184,100.3685
10/1/22,Kelantan,713.6,691.1,22.5,437.9,62,3.2,6.1254,102.2381
10/1/22,Melaka,541.8,527.8,14,261,67.5,2.6,2.1896,102.2501
10/1/22,Negeri Sembilan,642.4,623.4,19.1,327,66.3,3,2.7258,101.9424
10/1/22,Pahang,743.9,720.8,23.1,378.3,66.3,3.1,3.8126,103.3256
10/1/22,Perak,1097.1,1057.3,39.8,596.6,64.8,3.6,4.5921,101.0901
10/1/22,Perlis,129.2,125.4,3.7,76.3,62.9,2.9,6.4449,100.2045
10/1/22,Pulau Pinang,779.1,758.3,20.8,349.9,69,2.7,5.4141,100.3288
10/1/22,Putrajaya,79.1,76.8,2.3,37.7,67.7,2.9,2.9264,101.6964
10/1/22,Sabah,1282.7,1213.3,69.4,684.4,65.2,5.4,5.9788,116.0753
10/1/22,Sarawak,1198.3,1158.8,39.5,605.3,66.4,3.3,1.5533,110.3592
10/1/22,Selangor,3272.6,3189.9,82.8,1330,71.1,2.5,3.0738,101.5183
10/1/22,Terengganu,593.7,572.6,21.1,319.6,65,3.6,5.329,103.137
10/1/22,W.P. Kuala Lumpur,983.2,954.1,29.1,427.9,69.7,3,3.139,101.6869
10/1/22,W.P. Labuan,109.1,103.7,5.5,55.3,66.4,5,5.2831,115.2308
11/1/19,Johor,1695.3,1647.5,47.8,731.4,69.9,2.8,1.4854,103.7618
11/1/19,Kedah,900.7,876.7,24,464.7,66,2.7,6.1184,100.3685
11/1/19,Kelantan,691,671.5,19.6,401.4,63.3,2.8,6.1254,102.2381
11/1/19,Melaka,550.9,536.7,14.2,251.6,68.7,2.6,2.1896,102.2501
11/1/19,Negeri Sembilan,644.9,628.5,16.4,313.7,67.3,2.5,2.7258,101.9424
11/1/19,Pahang,753.3,733.4,19.8,407.4,64.9,2.6,3.8126,103.3256
11/1/19,Perak,1072.6,1038.6,34,600.6,64.1,3.2,4.5921,101.0901
11/1/19,Perlis,130.5,127.3,3.3,74.8,63.6,2.5,6.4449,100.2045
11/1/19,Pulau Pinang,772.3,750,22.3,352.3,68.7,2.9,5.4141,100.3288
11/1/19,Putrajaya,79.2,77.2,2,35.8,68.9,2.5,2.9264,101.6964
11/1/19,Sabah,1299.2,1233,66.2,741.5,63.7,5.1,5.9788,116.0753
11/1/19,Sarawak,1175.3,1137.4,37.8,583.5,66.8,3.2,1.5533,110.3592
11/1/19,Selangor,3280.7,3193.1,87.6,1309.3,71.5,2.7,3.0738,101.5183
11/1/19,Terengganu,601,580.1,20.9,329.5,64.6,3.5,5.329,103.137
11/1/19,W.P. Kuala Lumpur,1011.3,985.8,25.5,445.5,69.4,2.5,3.139,101.6869
11/1/19,W.P. Labuan,110.9,105.6,5.3,57.4,65.9,4.8,5.2831,115.2308
11/1/20,Johor,1694,1622.5,71.6,752.3,69.2,4.2,1.4854,103.7618
11/1/20,Kedah,899.5,860,39.5,465.3,65.9,4.4,6.1184,100.3685
11/1/20,Kelantan,693.3,663.7,29.6,395.4,63.7,4.3,6.1254,102.2381
11/1/20,Melaka,546.9,525.1,21.8,265.1,67.4,4,2.1896,102.2501
11/1/20,Negeri Sembilan,656.1,630.2,26,323.9,67,4,2.7258,101.9424
11/1/20,Pahang,737.9,710,27.9,382.5,65.9,3.8,3.8126,103.3256
11/1/20,Perak,1084.5,1035,49.5,580.5,65.1,4.6,4.5921,101.0901
11/1/20,Perlis,133,127,6,76,63.6,4.5,6.4449,100.2045
11/1/20,Pulau Pinang,798,766.9,31,360,68.9,3.9,5.4141,100.3288
